time,eciPosX,eciPosY,eciPosZ,periPosP,periPosQ,periPosW
0.00,5860888.79,3337157.46,588430.90,6769997.83,4202.63,586503.44
0.50,5858783.71,3340739.61,589062.53,6769993.48,8405.26,586404.01
1.00,5856676.75,3344320.69,589693.97,6769986.96,12607.88,586304.39
1.50,5854567.91,3347900.69,590325.22,6769978.26,16810.50,586204.57
2.00,5852457.19,3351479.61,590956.28,6769967.39,21013.12,586104.57
2.50,5850344.59,3355057.46,591587.15,6769954.35,25215.72,586004.39
3.00,5848230.11,3358634.24,592217.83,6769939.14,29418.32,585904.01
3.50,5846113.76,3362209.93,592848.33,6769921.75,33620.91,585803.45
4.00,5843995.52,3365784.55,593478.63,6769902.18,37823.49,585702.69
4.50,5841875.42,3369358.08,594108.74,6769880.45,42026.06,585601.75
5.00,5839753.43,3372930.53,594738.66,6769856.54,46228.62,585500.63
5.50,5837629.57,3376501.90,595368.39,6769830.45,50431.16,585399.31
6.00,5835503.84,3380072.19,595997.92,6769802.19,54633.68,585297.81
6.50,5833376.23,3383641.39,596627.27,6769771.76,58836.18,585196.11
7.00,5831246.75,3387209.50,597256.42,6769739.16,63038.67,585094.23
7.50,5829115.40,3390776.53,597885.39,6769704.38,67241.14,584992.17
8.00,5826982.17,3394342.47,598514.16,6769667.42,71443.58,584889.91
8.50,5824847.08,3397907.31,599142.74,6769628.30,75646.00,584787.47
9.00,5822710.11,3401471.07,599771.12,6769587.00,79848.40,584684.83
9.50,5820571.28,3405033.73,600399.32,6769543.53,84050.77,584582.02
10.00,5818430.57,3408595.31,601027.32,6769497.88,88253.12,584479.01
10.50,5816288.00,3412155.78,601655.13,6769450.06,92455.44,584375.81
11.00,5814143.56,3415715.16,602282.74,6769400.06,96657.72,584272.43
11.50,5811997.26,3419273.45,602910.16,6769347.90,100859.98,584168.86
12.00,5809849.08,3422830.64,603537.39,6769293.56,105062.20,584065.11
12.50,5807699.05,3426386.72,604164.43,6769237.04,109264.39,583961.16
13.00,5805547.15,3429941.71,604791.27,6769178.36,113466.55,583857.03
13.50,5803393.38,3433495.60,605417.91,6769117.50,117668.67,583752.71
14.00,5801237.75,3437048.38,606044.36,6769054.46,121870.75,583648.20
14.50,5799080.26,3440600.06,606670.62,6768989.25,126072.79,583543.51
15.00,5796920.90,3444150.64,607296.68,6768921.87,130274.79,583438.63
15.50,5794759.69,3447700.11,607922.55,6768852.32,134476.75,583333.56
16.00,5792596.61,3451248.47,608548.22,6768780.59,138678.66,583228.30
16.50,5790431.68,3454795.73,609173.70,6768706.69,142880.54,583122.86
17.00,5788264.89,3458341.87,609798.98,6768630.62,147082.36,583017.23
17.50,5786096.23,3461886.91,610424.07,6768552.38,151284.14,582911.41
18.00,5783925.72,3465430.83,611048.96,6768471.96,155485.87,582805.40
18.50,5781753.36,3468973.65,611673.65,6768389.36,159687.55,582699.21
19.00,5779579.13,3472515.35,612298.15,6768304.60,163889.18,582592.83
19.50,5777403.06,3476055.93,612922.45,6768217.66,168090.75,582486.27
20.00,5775225.12,3479595.40,613546.55,6768128.55,172292.28,582379.51
20.50,5773045.34,3483133.75,614170.46,6768037.27,176493.74,582272.57
21.00,5770863.69,3486670.98,614794.17,6767943.81,180695.15,582165.45
21.50,5768680.20,3490207.09,615417.68,6767848.18,184896.51,582058.13
22.00,5766494.86,3493742.08,616040.99,6767750.38,189097.80,581950.63
22.50,5764307.66,3497275.95,616664.11,6767650.41,193299.03,581842.94
23.00,5762118.61,3500808.70,617287.03,6767548.26,197500.20,581735.07
23.50,5759927.72,3504340.33,617909.75,6767443.94,201701.31,581627.01
24.00,5757734.97,3507870.83,618532.27,6767337.45,205902.35,581518.76
24.50,5755540.38,3511400.20,619154.60,6767228.78,210103.32,581410.32
25.00,5753343.94,3514928.45,619776.72,6767117.95,214304.23,581301.70
25.50,5751145.65,3518455.56,620398.65,6767004.94,218505.07,581192.89
