time,eciPosX,eciPosY,eciPosZ,periPosP,periPosQ,periPosW
0.00,5892937.47,3355366.66,591641.67,6806997.85,4191.19,589709.67
0.50,5890838.15,3358939.08,592271.59,6806993.55,8382.38,589610.51
1.00,5888736.97,3362510.44,592901.31,6806987.10,12573.57,589511.16
1.50,5886633.93,3366080.73,593530.85,6806978.50,16764.75,589411.63
2.00,5884529.03,3369649.96,594160.20,6806967.75,20955.93,589311.91
2.50,5882422.27,3373218.12,594789.37,6806954.85,25147.10,589212.00
3.00,5880313.65,3376785.22,595418.34,6806939.80,29338.26,589111.91
3.50,5878203.18,3380351.26,596047.13,6806922.59,33529.42,589011.63
4.00,5876090.85,3383916.22,596675.73,6806903.24,37720.56,588911.17
4.50,5873976.66,3387480.12,597304.14,6806881.74,41911.69,588810.51
5.00,5871860.62,3391042.95,597932.36,6806858.09,46102.81,588709.68
5.50,5869742.72,3394604.70,598560.40,6806832.29,50293.91,588608.66
6.00,5867622.97,3398165.39,599188.24,6806804.34,54485.00,588507.45
6.50,5865501.37,3401725.00,599815.90,6806774.24,58676.07,588406.05
7.00,5863377.91,3405283.53,600443.36,6806741.98,62867.12,588304.47
7.50,5861252.60,3408840.99,601070.64,6806707.58,67058.16,588202.71
8.00,5859125.44,3412397.37,601697.73,6806671.03,71249.17,588100.76
8.50,5856996.43,3415952.68,602324.62,6806632.33,75440.16,587998.62
9.00,5854865.57,3419506.91,602951.33,6806591.48,79631.12,587896.30
9.50,5852732.86,3423060.05,603577.84,6806548.47,83822.06,587793.79
10.00,5850598.30,3426612.12,604204.17,6806503.32,88012.97,587691.09
10.50,5848461.89,3430163.10,604830.30,6806456.02,92203.86,587588.21
11.00,5846323.64,3433713.00,605456.25,6806406.57,96394.71,587485.15
11.50,5844183.54,3437261.81,606082.00,6806354.97,100585.54,587381.90
12.00,5842041.59,3440809.54,606707.56,6806301.22,104776.33,587278.46
12.50,5839897.80,3444356.18,607332.93,6806245.31,108967.09,587174.84
13.00,5837752.16,3447901.74,607958.10,6806187.26,113157.82,587071.03
13.50,5835604.68,3451446.20,608583.09,6806127.06,117348.51,586967.04
14.00,5833455.36,3454989.58,609207.88,6806064.71,121539.16,586862.86
14.50,5831304.19,3458531.86,609832.48,6806000.21,125729.78,586758.50
15.00,5829151.18,3462073.05,610456.89,6805933.56,129920.36,586653.95
15.50,5826996.33,3465613.15,611081.10,6805864.76,134110.89,586549.21
16.00,5824839.64,3469152.15,611705.12,6805793.81,138301.38,586444.29
16.50,5822681.11,3472690.06,612328.95,6805720.71,142491.83,586339.19
17.00,5820520.75,3476226.87,612952.59,6805645.47,146682.23,586233.90
17.50,5818358.54,3479762.58,613576.03,6805568.07,150872.59,586128.42
18.00,5816194.49,3483297.20,614199.28,6805488.52,155062.90,586022.76
18.50,5814028.61,3486830.71,614822.33,6805406.82,159253.16,585916.92
19.00,5811860.89,3490363.12,615445.19,6805322.98,163443.37,585810.89
