time,eciPosX,eciPosY,eciPosZ,periPosP,periPosQ,periPosW
0.00,6769997.83,-3484.64,2011.86,6769997.83,4023.71,-0.00
0.50,6769993.48,-6969.27,4023.71,6769993.48,8047.42,0.00
1.00,6769986.96,-10453.90,6035.56,6769986.96,12071.13,-0.00
1.50,6769978.26,-13938.53,8047.41,6769978.26,16094.83,-0.00
2.00,6769967.39,-17423.15,10059.26,6769967.39,20118.53,-0.00
2.50,6769954.35,-20907.77,12071.11,6769954.35,24142.22,-0.00
3.00,6769939.14,-24392.39,14082.95,6769939.14,28165.90,-0.00
3.50,6769921.75,-27876.99,16094.79,6769921.75,32189.57,-0.00
4.00,6769902.18,-31361.58,18106.62,6769902.18,36213.24,-0.00
4.50,6769880.45,-34846.17,20118.45,6769880.45,40236.89,-0.00
5.00,6769856.53,-38330.74,22130.27,6769856.53,44260.53,-0.00
5.50,6769830.45,-41815.31,24142.08,6769830.45,48284.16,0.00
6.00,6769802.19,-45299.85,26153.88,6769802.19,52307.76,0.00
6.50,6769771.76,-48784.39,28165.68,6769771.76,56331.36,0.00
7.00,6769739.16,-52268.90,30177.47,6769739.16,60354.93,0.00
7.50,6769704.38,-55753.41,32189.24,6769704.38,64378.49,0.00
8.00,6769667.42,-59237.89,34201.01,6769667.42,68402.02,0.00
8.50,6769628.30,-62722.35,36212.77,6769628.30,72425.54,0.00
9.00,6769587.00,-66206.80,38224.51,6769587.00,76449.02,0.00
9.50,6769543.52,-69691.22,40236.24,6769543.52,80472.49,0.00
10.00,6769497.88,-73175.62,42247.96,6769497.88,84495.93,0.00
10.50,6769450.06,-76660.00,44259.67,6769450.06,88519.34,0.00
11.00,6769400.06,-80144.35,46271.36,6769400.06,92542.72,0.00
11.50,6769347.89,-83628.68,48283.04,6769347.89,96566.08,0.00
12.00,6769293.55,-87112.98,50294.70,6769293.55,100589.40,0.00
12.50,6769237.04,-90597.25,52306.35,6769237.04,104612.69,0.00
13.00,6769178.35,-94081.49,54317.97,6769178.35,108635.95,0.00
13.50,6769117.49,-97565.70,56329.59,6769117.49,112659.17,0.00
14.00,6769054.46,-101049.88,58341.18,6769054.46,116682.36,0.00
14.50,6768989.25,-104534.03,60352.75,6768989.25,120705.50,0.00
15.00,6768921.87,-108018.15,62364.31,6768921.87,124728.61,0.00
15.50,6768852.31,-111502.23,64375.84,6768852.31,128751.68,0.00
16.00,6768780.58,-114986.27,66387.36,6768780.58,132774.71,0.00
16.50,6768706.68,-118470.28,68398.85,6768706.68,136797.70,0.00
17.00,6768630.61,-121954.25,70410.32,6768630.61,140820.64,0.00
17.50,6768552.36,-125438.18,72421.77,6768552.36,144843.54,-0.00
18.00,6768471.94,-128922.07,74433.19,6768471.94,148866.39,-0.00
18.50,6768389.35,-132405.92,76444.59,6768389.35,152889.19,-0.00
19.00,6768304.58,-135889.73,78455.97,6768304.58,156911.94,-0.00
19.50,6768217.64,-139373.49,80467.32,6768217.64,160934.64,-0.00
20.00,6768128.53,-142857.21,82478.65,6768128.53,164957.30,-0.00
20.50,6768037.24,-146340.88,84489.95,6768037.24,168979.89,-0.00
21.00,6767943.78,-149824.51,86501.22,6767943.78,173002.44,-0.00
21.50,6767848.15,-153308.08,88512.46,6767848.15,177024.93,-0.00
22.00,6767750.34,-156791.61,90523.68,6767750.34,181047.36,-0.00
22.50,6767650.37,-160275.09,92534.87,6767650.37,185069.73,-0.00
23.00,6767548.22,-163758.51,94546.02,6767548.22,189092.04,-0.00
23.50,6767443.89,-167241.89,96557.15,6767443.89,193114.30,-0.00
24.00,6767337.40,-170725.21,98568.24,6767337.40,197136.49,-0.00
