time,eciPosX,eciPosY,eciPosZ,periPosP,periPosQ,periPosW
0.00,6769997.83,3836.46,0.00,6769997.83,3836.46,0.00
0.50,6769993.48,7672.91,0.00,6769993.48,7672.91,0.00
1.00,6769986.96,11509.37,0.00,6769986.96,11509.37,0.00
1.50,6769978.26,15345.82,0.00,6769978.26,15345.82,0.00
2.00,6769967.39,19182.26,0.00,6769967.39,19182.26,0.00
2.50,6769954.35,23018.70,0.00,6769954.35,23018.70,0.00
3.00,6769939.14,26855.13,0.00,6769939.14,26855.13,0.00
3.50,6769921.75,30691.56,0.00,6769921.75,30691.56,0.00
4.00,6769902.18,34527.97,0.00,6769902.18,34527.97,0.00
4.50,6769880.45,38364.37,0.00,6769880.45,38364.37,0.00
5.00,6769856.53,42200.76,0.00,6769856.53,42200.76,0.00
5.50,6769830.45,46037.14,0.00,6769830.45,46037.14,0.00
6.00,6769802.19,49873.50,0.00,6769802.19,49873.50,0.00
6.50,6769771.76,53709.84,0.00,6769771.76,53709.84,0.00
7.00,6769739.15,57546.17,0.00,6769739.15,57546.17,0.00
7.50,6769704.38,61382.48,0.00,6769704.38,61382.48,0.00
8.00,6769667.42,65218.77,0.00,6769667.42,65218.77,0.00
8.50,6769628.30,69055.04,0.00,6769628.30,69055.04,0.00
9.00,6769587.00,72891.29,0.00,6769587.00,72891.29,0.00
9.50,6769543.52,76727.51,0.00,6769543.52,76727.51,0.00
10.00,6769497.88,80563.71,0.00,6769497.88,80563.71,0.00
10.50,6769450.05,84399.88,0.00,6769450.05,84399.88,0.00
11.00,6769400.06,88236.03,0.00,6769400.06,88236.03,0.00
11.50,6769347.89,92072.14,0.00,6769347.89,92072.14,0.00
12.00,6769293.55,95908.23,0.00,6769293.55,95908.23,0.00
12.50,6769237.04,99744.29,0.00,6769237.04,99744.29,0.00
13.00,6769178.35,103580.31,0.00,6769178.35,103580.31,0.00
13.50,6769117.49,107416.30,0.00,6769117.49,107416.30,0.00
14.00,6769054.45,111252.26,0.00,6769054.45,111252.26,0.00
14.50,6768989.24,115088.18,0.00,6768989.24,115088.18,0.00
15.00,6768921.86,118924.07,0.00,6768921.86,118924.07,0.00
15.50,6768852.30,122759.91,0.00,6768852.30,122759.91,0.00
16.00,6768780.57,126595.72,0.00,6768780.57,126595.72,0.00
16.50,6768706.67,130431.49,0.00,6768706.67,130431.49,0.00
17.00,6768630.60,134267.21,0.00,6768630.60,134267.21,0.00
17.50,6768552.35,138102.89,0.00,6768552.35,138102.89,0.00
18.00,6768471.92,141938.53,0.00,6768471.92,141938.53,0.00
18.50,6768389.33,145774.12,0.00,6768389.33,145774.12,0.00
19.00,6768304.56,149609.67,0.00,6768304.56,149609.67,0.00
19.50,6768217.62,153445.16,0.00,6768217.62,153445.16,0.00
20.00,6768128.50,157280.61,0.00,6768128.50,157280.61,0.00
20.50,6768037.21,161116.01,0.00,6768037.21,161116.01,0.00
21.00,6767943.75,164951.35,0.00,6767943.75,164951.35,0.00
21.50,6767848.12,168786.64,0.00,6767848.12,168786.64,0.00
22.00,6767750.31,172621.88,0.00,6767750.31,172621.88,0.00
22.50,6767650.33,176457.06,0.00,6767650.33,176457.06,0.00
23.00,6767548.17,180292.19,0.00,6767548.17,180292.19,0.00
23.50,6767443.85,184127.26,0.00,6767443.85,184127.26,0.00
24.00,6767337.35,187962.27,0.00,6767337.35,187962.27,0.00
24.50,6767228.67,191797.22,0.00,6767228.67,191797.22,0.00
25.00,6767117.83,195632.10,0.00,6767117.83,195632.10,0.00
25.50,6767004.81,199466.93,0.00,6767004.81,199466.93,0.00
26.00,6766889.62,203301.69,0.00,6766889.62,203301.69,0.00
26.50,6766772.25,207136.38,0.00,6766772.25,207136.38,0.00
27.00,6766652.72,210971.01,0.00,6766652.72,210971.01,0.00
27.50,6766531.01,214805.57,0.00,6766531.01,214805.57,0.00
28.00,6766407.13,218640.06,0.00,6766407.13,218640.06,0.00
28.50,6766281.07,222474.48,0.00,6766281.07,222474.48,0.00
29.00,6766152.84,226308.83,0.00,6766152.84,226308.83,0.00
29.50,6766022.44,230143.11,0.00,6766022.44,230143.11,0.00
30.00,6765889.87,233977.31,0.00,6765889.87,233977.31,0.00
30.50,6765755.13,237811.44,0.00,6765755.13,237811.44,0.00
31.00,6765618.21,241645.49,0.00,6765618.21,241645.49,0.00
31.50,6765479.12,245479.47,0.00,6765479.12,245479.47,0.00
32.00,6765337.86,249313.36,0.00,6765337.86,249313.36,0.00
32.50,6765194.42,253147.18,0.00,6765194.42,253147.18,0.00
33.00,6765048.82,256980.91,0.00,6765048.82,256980.91,0.00
33.50,6764901.04,260814.56,0.00,6764901.04,260814.56,0.00
34.00,6764751.09,264648.13,0.00,6764751.09,264648.13,0.00
34.50,6764598.96,268481.61,0.00,6764598.96,268481.61,0.00
35.00,6764444.67,272315.01,0.00,6764444.67,272315.01,0.00
35.50,6764288.20,276148.32,0.00,6764288.20,276148.32,0.00
36.00,6764129.56,279981.54,0.00,6764129.56,279981.54,0.00
36.50,6763968.75,283814.67,0.00,6763968.75,283814.67,0.00
37.00,6763805.77,287647.71,0.00,6763805.77,287647.71,0.00
37.50,6763640.61,291480.66,0.00,6763640.61,291480.66,0.00
38.00,6763473.29,295313.51,0.00,6763473.29,295313.51,0.00
38.50,6763303.79,299146.27,0.00,6763303.79,299146.27,0.00
39.00,6763132.12,302978.93,0.00,6763132.12,302978.93,0.00
39.50,6762958.28,306811.50,0.00,6762958.28,306811.50,0.00
40.00,6762782.27,310643.96,0.00,6762782.27,310643.96,0.00
40.50,6762604.08,314476.33,0.00,6762604.08,314476.33,0.00
41.00,6762423.73,318308.60,0.00,6762423.73,318308.60,0.00
41.50,6762241.20,322140.76,0.00,6762241.20,322140.76,0.00
42.00,6762056.50,325972.82,0.00,6762056.50,325972.82,0.00
42.50,6761869.63,329804.78,0.00,6761869.63,329804.78,0.00
43.00,6761680.59,333636.63,0.00,6761680.59,333636.63,0.00
43.50,6761489.38,337468.37,0.00,6761489.38,337468.37,0.00
44.00,6761295.99,341300.00,0.00,6761295.99,341300.00,0.00
44.50,6761100.44,345131.53,0.00,6761100.44,345131.53,0.00
45.00,6760902.72,348962.94,0.00,6760902.72,348962.94,0.00
45.50,6760702.82,352794.25,0.00,6760702.82,352794.25,0.00
46.00,6760500.75,356625.43,0.00,6760500.75,356625.43,0.00
46.50,6760296.51,360456.51,0.00,6760296.51,360456.51,0.00
47.00,6760090.11,364287.47,0.00,6760090.11,364287.47,0.00
47.50,6759881.53,368118.31,0.00,6759881.53,368118.31,0.00
48.00,6759670.78,371949.03,0.00,6759670.78,371949.03,0.00
48.50,6759457.86,375779.64,0.00,6759457.86,375779.64,0.00
49.00,6759242.77,379610.12,0.00,6759242.77,379610.12,0.00
49.50,6759025.51,383440.48,0.00,6759025.51,383440.48,0.00
50.00,6758806.08,387270.72,0.00,6758806.08,387270.72,0.00
50.50,6758584.47,391100.83,0.00,6758584.47,391100.83,0.00
51.00,6758360.70,394930.82,0.00,6758360.70,394930.82,0.00
51.50,6758134.76,398760.68,0.00,6758134.76,398760.68,0.00
52.00,6757906.65,402590.42,0.00,6757906.65,402590.42,0.00
52.50,6757676.37,406420.02,0.00,6757676.37,406420.02,0.00
53.00,6757443.92,410249.49,0.00,6757443.92,410249.49,0.00
53.50,6757209.30,414078.83,0.00,6757209.30,414078.83,0.00
54.00,6756972.50,417908.04,0.00,6756972.50,417908.04,0.00
54.50,6756733.54,421737.12,0.00,6756733.54,421737.12,0.00
55.00,6756492.41,425566.06,0.00,6756492.41,425566.06,0.00
55.50,6756249.11,429394.86,0.00,6756249.11,429394.86,0.00
56.00,6756003.64,433223.53,0.00,6756003.64,433223.53,0.00
56.50,6755756.01,437052.05,0.00,6755756.01,437052.05,0.00
57.00,6755506.20,440880.44,0.00,6755506.20,440880.44,0.00
57.50,6755254.22,444708.68,0.00,6755254.22,444708.68,0.00
58.00,6755000.08,448536.78,0.00,6755000.08,448536.78,0.00
58.50,6754743.76,452364.74,0.00,6754743.76,452364.74,0.00
59.00,6754485.28,456192.55,0.00,6754485.28,456192.55,0.00
59.50,6754224.62,460020.21,0.00,6754224.62,460020.21,0.00
60.00,6753961.80,463847.73,0.00,6753961.80,463847.73,0.00
60.50,6753696.81,467675.10,0.00,6753696.81,467675.10,0.00
61.00,6753429.65,471502.32,0.00,6753429.65,471502.32,0.00
61.50,6753160.33,475329.39,0.00,6753160.33,475329.39,0.00
62.00,6752888.83,479156.30,0.00,6752888.83,479156.30,0.00
62.50,6752615.17,482983.06,0.00,6752615.17,482983.06,0.00
63.00,6752339.33,486809.67,0.00,6752339.33,486809.67,0.00
63.50,6752061.33,490636.12,0.00,6752061.33,490636.12,0.00
64.00,6751781.16,494462.41,0.00,6751781.16,494462.41,0.00
64.50,6751498.83,498288.54,0.00,6751498.83,498288.54,0.00
65.00,6751214.32,502114.51,0.00,6751214.32,502114.51,0.00
65.50,6750927.65,505940.32,0.00,6750927.65,505940.32,0.00
